openalex_id,pmid,doi,title,abstract,year,journal,authors,type,cited_by_count,domain_query
W4390780227,,10.21105/joss.05901,"OpenSkill: A faster asymmetric multi-team, multiplayerrating system","Assessing and comparing player skill in online multiplayer gaming environments is essential for fair matchmaking and player engagement. Traditional ranking models like Elo and Glicko-2, designed for two-player games, are insufficient for the complexity of multi-player, asymmetric team-based matches. To address this gap, the OpenSkill library offers a suite of sophisticated, fast, and adaptable models tailored for such dynamics. Drawing from Bayesian inference methods, OpenSkill provides a more accurate representation of individual player contributions and speeds up the computation of ranks. This paper introduces the OpenSkill library, featuring a Python implementation of the Plackett-Luce model among others, highlighting its performance advantages and predictive accuracy against proprietary systems like TrueSkill. OpenSkill is a valuable tool for game developers and researchers, ensuring a responsive and fair gaming experience by efficiently adjusting player rankings based on game outcomes. The library's support for time decay and diligent documentation further aid in its practical application, making it a robust solution for the nuanced world of multiplayer ranking systems. This paper also acknowledges areas for future enhancement, such as partial play and contribution weighting, emphasizing the library's ongoing development to meet the evolving needs of online gaming communities.",2024,The Journal of Open Source Software,Vivek Joshy,article,6,D2
W3016341352,,10.21105/joss.02169,Matching: A Python library for solving matching games,"Matching games allow for the allocation of resources and partnerships in a fair way. Typically, a matching game is defined by two sets of players that each have preferences over at least some of the elements of the other set. The objective of the game is then to find a mapping between the sets of players in which everyone is happy enough with their match.",2020,The Journal of Open Source Software,Henry Wilde; Vincent Knight; Jonathan Gillard,article,16,D2
W2070228192,,10.1007/s11257-012-9126-z,Real-time rule-based classification of player types in computer games,,2012,User Modeling and User-Adapted Interaction,Benjamin Ultan Cowley; Darryl Charles; Michaela Black; Ray J. Hickey,article,20,D2
W4382466815,,10.26650/acin.1180583,Machine Learning Models on MOBA Gaming: League of Legends Winner Prediction,"The entertainment industry includes companies engaged in telecommunications services, television, music streaming, video games, and live events. Gaming has gained momentum in revenue growth in the entertainment industry over the past decade. This momentum has made the gaming industry one of the most popular areas of the entertainment industry. Official leagues have been teamed up with professional players, and the concept of e-sports has become widespread. MOBA (Multiplayer Online Battle Arena), which is a derivative of MMO (massively multiplayer online) games, is the name given to the games played on the Internet in which players destroy the opponent&#039;s base by dominating specific objectives on a map, usually with two teams of five players each. LoL (League of Legends) is one of the most popular MOBA games. Predicting winners in online games has become an essential application for machine learning models. This research aims to predict classification with machine learning methods of match winner with LoL player metrics. Key performance metrics and their impact on each game model were analyzed. The results show that winner prediction is possible in League of Legends, also, LightGBM (0.97), Logistic Regression (0.96), SVM and GBC (Gradient Boosting Classifier) (0.95) are outperformed with a high accuracy ratio. This paper will contribute to the classification research on topic of gaming with machine learning.",2023,Acta Infologica,Kaan ARIK,article,6,D2
W2625979082,,10.7146/mediekultur.v33i63.24749,"Old people, video games and french press: A topic model approach on a study about discipline, entertainment and self-improvement.","Over the past few years, the French mainstream press has paid more and more attention to ""silver gamers"", adults over sixty who play video games. This article investigates the discursive and normative paradigms that underlie the unexpected enthusiasm of the French mainstream press for older adults who play video games. We use mixed methods on a corpus of French, Swiss and Belgian articles that mention both older people and video games. First, we produce topics, that is, sets of words related by their meanings and identified with a Bayesian statistical algorithm. Second, we cross the topic model results with a discursive analysis of selected articles. We preface the topic modeling's conclusions with a discussion of the representations of older people and video games in European French-language mainstream media. Our analysis explores how the press coverage of older people who play video games simultaneously erases moral panic about video games and reinforces the discourse of ""successful ageing"".",2017,MedieKultur Journal of media and communication research,Gabrielle Lavenir; Nicolas Bourgeois,article,4,D2
W2956032651,,10.12987/yale/9780300218879.001.0001,Plugged In: How Media Attract and Affect Youth,"An illuminating study of the complex relationship between children and media in the digital age Now, as never before, young people are surrounded by media-thanks to the sophistication and portability of the technology that puts it literally in the palms of their hands. Drawing on data and empirical research that cross many fields and continents, authors Valkenburg and Piotrowski examine the role of media in the lives of children from birth through adolescence, addressing the complex issues of how media affect the young and what adults can do to encourage responsible use in an age of selfies, Twitter, Facebook, and Instagram. This important study looks at both the sunny and the dark side of media use by today's youth, including why and how their preferences change throughout childhood, whether digital gaming is harmful or helpful, the effects of placing tablets and smartphones in the hands of toddlers, the susceptibility of young people to online advertising, the legitimacy of parental concerns about media multitasking, and more",2017,UvA-DARE (University of Amsterdam),Patti M. Valkenburg; Jessica Taylor Piotrowski,book,46,D2
W2946706626,,,"Story Meets Story World: How Do You Construct a Non-linear, Narrative-rich Virtual Reality Experience While Working Within the Confines of a Traditional MMORPG?","With the affordances of the immersive technology of Virtual Reality, game designers are looking to find a new language for MMORPG narrative; one that matches the dynamic, non-linear and interactive nature of the medium. Using the context of commercial video game Orbus VR, this study attempts to create a story world that can navigate and work within the confines of Virtual Reality. The outcome of the research is presented as an online transmedia Story Bible, along with an exegesis to contextualise the study and identify some of the primary issues and themes to emerge.",2019,Tuwhera (Auckland University of Technology),Nicholas Jones,dissertation,1,D2
W4395079455,,10.1101/2024.04.23.24306235,Stones in Our Pockets: Mental Health Dimensions of Grief in Contemporary Video Games,"Abstract This article combines the expertise of games studies scholars, medical ethicists, and clinical psychologists to analyse representations of grief in contemporary video games. Grief is a universal human experience, but navigating its psychological, social, and embodied effects can be a challenging task. Constructionist approaches to grief therapy emphasise the importance of metaphors for understanding the experience of loss (Nadeau 2006; Young 2008; Neimeyer 2010; Southall 2013). Paying attention to the metaphorical language used by a client can provide a therapist with key information about the client’s personal and cultural perspectives and world view. Equally, a therapist can work with clients to devise metaphors that shift their perspectives and aid the process of meaning-making. Video games provide players with new metaphors to express and explore grief. Since video games communicate across audio, visual, verbal, haptic, mechanical, and performative modes, they can offer a complete gestalt that touches on the physical, emotional, practical, and systemic impact of loss. In this article, we survey the multimodal metaphors for grief that appear in 14 commercial-off-the-shelf (COTS) video games and identify recurring tropes and themes. We consider 1) what is illuminated by these metaphors? 2) what is obscured by these metaphors? and 3) what are the therapeutic implications of these metaphors? We conclude with a set of recommendations for game developers who want to design ‘serious games’ that explore emotionally fraught topics, and a set of recommendations for grief and bereavement therapists seeking to integrate video games into their practice.",2024,medRxiv,Emma Reay; Minhua Ma; Anna Mankee‐Williams; Gabriela Pavarini; Nicola Shaughnessy,preprint,5,D2
W4285345459,,10.5753/sbgames_estendido.2021.19662,League of Legends: An Application of Classification Algorithms to Verify the Prediction Importance of Main In-Game Variables,"League of Legends is currently one of the most popular video games with a competitive scene involving regional and international tournaments. In this paper, we predict the result of competitive matches using information about games played between the years 2016 and 2020 in the most well-known regional and international leagues, such as the Brazilian League of Legends Championship and League of Legends Pro League. We used several different approaches to train our models based on different variable categories. First, we used economic variables registered in the first 10 and 15 minutes of each match. Then we considered variables that change only from the beginning to the end of the game and do not suffer interference before and after the game. The accuracy of classifiers such as KNearest Neighbors, Random Forest, and Decision Tree varied from 68.33% to 85.17%, depending on which variables were used to train the models.",2021,,Alexandre C. S. Cruz; Thaís G. do Rêgo; Telmo M. Silva Filho; Yuri Malheiros,article,4,D2
W2783588197,29329522,10.1186/s12864-017-4369-z,A-GAME: improving the assembly of pooled functional metagenomics sequence data,"BACKGROUND: Expression screening of environmental DNA (eDNA) libraries is a popular approach for the identification and characterization of novel microbial enzymes with promising biotechnological properties. In such ""functional metagenomics"" experiments, inserts, selected on the basis of activity assays, are sequenced with high throughput sequencing technologies. Assembly is followed by gene prediction, annotation and identification of candidate genes that are subsequently evaluated for biotechnological applications. RESULTS: Here we present A-GAME (A GAlaxy suite for functional MEtagenomics), a web service incorporating state of the art tools and workflows for the analysis of eDNA sequence data. We illustrate the potential of A-GAME workflows using real functional metagenomics data, showing that they outperform alternative metagenomics assemblers. Dedicated tools available in A-GAME allow efficient analysis of pooled libraries and rapid identification of candidate genes, reducing sequencing costs and saving the need for laborious manual annotation. CONCLUSION: In conclusion, we believe A-GAME will constitute a valuable resource for the functional metagenomics community. A-GAME is publicly available at http://beaconlab.it/agame.",2018,BMC Genomics,Matteo Chiara; Antonio Placido; Ernesto Picardi; Luigi R. Ceci; David S. Horner,article,8,D2
W2272679317,,10.18130/v3tv58,Speculative Computing: Instruments for Interpretive Scholarship,"Like many modern humanities computing projects, Ramon Llull’s Ars Magna, a system ofinscripted, manipulable wheels dating to the thirteenth century, asserts that interpretation can be aided by mechanism without being generated mathematically or mechanically. That this assertion is sometimes lost on the larger academic community is not simply a failure of the devices scholar-technologists produce (although, as the work outlined here seeks to demonstrate, we could do a better job of anticipating and incorporating patently interpretive or subjective forms of interaction on the part of our users into the systems we create for them). Instead, it betrays our failure to articulate the humanistic and hermeneutic value of algorithmic work to a lay audience. This dissertation uses Llull’s Ars Magna to introduce the relationships of algorithm, ars combinatoria, aesthetic provocation, diagrammatic reasoning, and ludic practice to the work of humanities scholarship and then presents two major case studies in the design of digital instruments and environments that open themselves to performance and intervention on the part of interpretive agents. The first is the Temporal Modelling PlaySpace, a composition tool for sketching subjective and inflected timelines that (like temporal relations in humanities data generally) are not necessarily unidirectional, homogenous, or continuous. Temporal Modelling’s innovation lies in its extraction for re-purposing of well-formed XML from users’ intuitively-designed and even deliberately ambiguous diagrammatic models. The second case study deals with computational and interface or visualization strategies for turning problems in representing subjectivity and deixis into opportunities for critical engagement in the Ivanhoe Game, a ludic subset of the larger IVANHOE project, an interpretive role- playing environment conceived by Jerome McGann and Johanna Drucker. Both of these projects stem from work in progress at the University of Virginia’s Speculative Computing Laboratory. The goals and methods of SpecLab are demonstrated (and tested in performance) in a trio of creative design exercises or “imaginary solutions” which make use of ideas developed in chapters on Llull, Temporal Modelling, and the Ivanhoe Game — and “speculative computing” is introduced as a new paradigm for exploratory digital work in the humanities.",2004,Libra,Bethany Nowviskie,dissertation,27,D2
W2919540475,,10.22215/etd/2018-12727,Exploration of Narrative Structure in Games for Story Creation,"While video games have become a popular medium for storytelling, as a more subjective form of game content, evaluation of written or generated narratives remains difficult. We propose a model for game narrative (the combination of story and its discourse) that can be used to both help write game stories, and evaluate existing ones. This model is based on scholarly models of narrative, alongside narrative structuralism, which can give information about each narrative event and its' position within the overall sequence of events making up the story. We also show from the literature that strong stories feature an external goal or quest which can only be achieved by a character resolving their own internal struggles.",2018,,Bethany Dunfield,dissertation,2,D2
W4213244566,,10.7765/9781526107039,The greening of golf,"Background and history 49 3 Waging a war on pests: golf comes to America 51 4 Golf in consumer culture and the making of Augusta National syndrome 71 Part III: The light-greening of golf 89 5 The turn to responsible golf and the roots of golf 's light-green movement 91 6 Environmentalism incorporated: professionalization and post-politics in the time of responsible golf 7 Light-green regulation? Environmental managerialism and golf 's conspicuous exemption Part IV: The dark-greening of golf 8 Anti-golfers across the world unite! Global and local forms of resistance to golf course development 9 Organic golf 'on the fringe': the potential and challenges of a chemical-free golf alternative Contents vi Part V: Conclusion 10 Reflections, recommendations, and minor utopian visions for a game we love References Index",2016,Manchester University Press eBooks,Brad Millington; Brian Wilson,book,24,D2
W4320027891,,10.33776/linguodidactica.v1.7428,Video games lexicon included in Spanish language: a multiple case study,"In our current society, the lexical treasure that Spanish has is made up of numerous words that recognize the expressions of a group of speakers. Due to technological development, this reality is present in the Internet space and among consumers of online content, who discover and learn, from this multimodal tool, new terms that arise daily, giving rise to new words. For this reason, in this dissertation, we aim investigate and treat those terms of Spanish and English origin and even neologisms that make up the world of video games, with a viewing of 50 youtubers and an experimentation of 3 successful video games from which it will be obtained, terms which will be later collated to see how they are treated in the different dictionaries. Thirdly, the percentage of these terms will be obtained through the words collected in the reference corpus of Spanish and English. It will also be addressed what attention video games receive recently as a didactic multimodal tool for learning vocabulary.",2022,Linguo Didáctica,Javier Orta Casado; Beatriz Peña Acuña,article,8,D2
W3176219964,,10.3390/arts10030042,From Novels to Video Games: Romantic Love and Narrative Form in Japanese Visual Novels and Romance Adventure Games,"Video games are powerful narrative media that continue to evolve. Romance games in Japan, which began as text-based adventure games and are today known as bishōjo games and otome games, form a powerful textual corpus for literary and media studies. They adopt conventional literary narrative strategies and explore new narrative forms formulated by an interface with computer-generated texts and audiovisual fetishism, thereby challenging the assumptions about the modern textual values of storytelling. The article first examines differences between visual novels that feature female characters for a male audience and romance adventure games that feature male characters for a female audience. Through the comparison, the article investigates how notions of romantic love and relationship have transformed from the modern identity politics based on freedom and the autonomous self to the decentered model of mediation and interaction in the contemporary era.",2021,Arts,Kumiko Saito,article,21,D2
W1578750944,,,The Enigma of Toyota's Competitive Advantage: Is Denso the Missing Link in the Academic Literature?,"This paper analyses the reasons for the competitiveness of Toyota. It focuses on the companys unique relationship with one partner supplier Denso where contingency loss potential is the greatest. A literature review reveals some gaps between the English and Japanese literature. The author uses resource based view literature, game theory literature, transaction cost literature and the concept of positive external economy to explain Toyotas success. She also identifies a future research question: might Toyotas domestic success have arisen partly because its competitors did not understand the way it worked?",2003,Research Bank (Australian Catholic University),Evelyn Anderson,preprint,15,D2
W3043023077,,10.5120/ijca2020920547,A Comprehensive Analysis and Design of Addictive Educational Mobile Games,"Mobile game addiction is a significant aspect of consideration as there has been notable growth in mobile game usage. However, game developers face numerous obstacles with respect to educational mobile games in terms of engagement, commitment, likeability and usage. This study proposes an approach to understanding the contributors to addiction in mobile games, with the intent of designing educational games that overcome the aforementioned obstacles. These contributors were extrapolated upon analysis of the most popular games as seen from an accordingly curated questionnaire. A general user flow framework was proposed to leverage the underlying mechanisms of addiction in mobile games to make educational games more effective. Furthermore, this study expands on the general guidelines for designing addictive educational mobile games.",2020,International Journal of Computer Applications,Shreyas Prasad; Urmika Kasi; Rithika Shivakumar,article,6,D2
W210221579,,,AI in Computer Games: From the Player’s Goal to AI’s Role,"This paper addresses the role of Artificial Intelligence (AI) in a variety of game genres. Every game aims to entertain (though educational games have secondary objectives). Each genre approaches entertainment in a unique way. We explore the methods used to draw the game player’s attention. We then consider how the AI interacts with the player to promote both entertainment and an interactive environment. We also consider some of the techniques that will shape tomorrow’s games. Included are opponent strategies, interactive environments, and multiagent systems (MAS). While different, each approach can aid in creating more immersive and challenging gaming experiences. Our goal is to create an AI opponent that is not only a capable opponent but also reacts to and improves with player. We consider what elements are necessary to create an opponent capable of creative use of its environment. The game environment, too, is extremely important in creating an immersive experience. Finally, we consider the possibility of creating games that include emergent behavior and multiagent systems.",2004,Lincoln (University of Nebraska),Jeremy A. Glasser; Leen‐Kiat Soh,article,5,D2
W2595644383,,,Play and History: Authenticity and experience in virtual reconstructions and video gaming,"Many academic virtual reconstructions of historical and archaeological sites in the present day exclude any portrayal of social context due in part to a concern regarding accuracy and authenticity and the possibility of misleading audiences in the simulation process.On the other hand, video games have adapted history as game settings for nearly twenty-eight years now, and have integrated social and cultural aspects.It is this attention to the socio-cultural details that helps make video games engaging and therefore popular.In this thesis, I will explore the issues in integrating cultural heritage with this popular new entertainment medium, in order to evaluate prospects for delivering historical knowledge about architecture and its social context to a broader audience.I will discuss the issue of authenticity versus experience of space and time in video games with historical settings, and explore their fundamental element of flow, through the analysis of Assassin's Creed.The counterfactual feature of the game environment induced by the game engine allows multiple outcomes for the same scenario.Although these may all be different from the so-called actual history, they all provide the audience with the insights about the social context of the era.Architectural reconstructions appearing as verisimilitude will also enable the audience to explore the spatial and experiential qualities of historic places.In conclusion, I will prompt architectural historians to consider virtual reconstructions as a means to convey history and architecture along with dynamic aspects such as the cultural, economic, and social experience of historic places.",2010,OhioLink ETD Center (Ohio Library and Information Network),Gozde Dogramacilar,article,1,D2
